,authors,songs
0,Taylor Swift,Cruel Summer
1,Jack Harlow,Lovin On Me
2,Doja Cat,Paint The Town Red
3,SZA,Snooze
4,Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault]
5,Zach Bryan Featuring Kacey Musgraves,I Remember Everything
6,Luke Combs,Fast Car
7,Tate McRae,Greedy
8,Morgan Wallen,Last Night
9,Morgan Wallen,Thinkin' Bout Me
10,Dua Lipa,Houdini
11,Chris Stapleton,White Horse
12,Jelly Roll,Need A Favor
13,Doja Cat,Agora Hills
14,Tyla,Water
15,Drake Featuring Sexyy Red & SZA,Rich Baby Daddy
16,Mariah Carey,All I Want For Christmas Is You
17,Gunna,Fukumean
18,Jelly Roll With Lainey Wilson,Save Me
19,Dua Lipa,Dance The Night
20,Olivia Rodrigo,Vampire
21,Miley Cyrus,Used To Be Young
22,Paul Russell,Lil Boo Thang
23,Bad Bunny,Monaco
24,Drake Featuring J. Cole,First Person Shooter
25,Drake Featuring Yeat,IDGAF
26,Billie Eilish,What Was I Made For?
27,"Usher, Summer Walker & 21 Savage",Good Good
28,Miley Cyrus,Flowers
29,Mitski,My Love Mine All Mine
30,Noah Kahan,Stick Season
31,Wham!,Last Christmas
32,Taylor Swift,Now That We Don't Talk (Taylor's Version) [From The Vault]
33,Noah Kahan With Post Malone,Dial Drunk
34,Doechii Featuring Kodak Black,What It Is (Block Boy)
35,SZA,Kill Bill
36,Noah Kahan With Hozier,Northern Attitude
37,Bobby Helms,Jingle Bell Rock
38,Teddy Swims,Lose Control
39,Fuerza Regida & Marshmello,Harley Quinn
40,David Kushner,Daylight
41,Travis Scott,I Know ?
42,Jessie Murph & Jelly Roll,Wild Ones
43,Burl Ives,A Holly Jolly Christmas
44,Nicki Minaj & Ice Spice With Aqua,Barbie World
45,Warren Zeiders,Pretty Little Poison
46,Nate Smith,World On Fire
47,Victoria Monet,On My Mama
48,Taylor Swift,Slut! (Taylor's Version) [From The Vault]
49,Jung Kook,Standing Next To You
50,Lil Tecca,500lbs
51,Kenya Grace,Strangers
52,Taylor Swift,Say Don't Go (Taylor's Version) [From The Vault]
53,Olivia Rodrigo,Bad Idea Right?
54,Rod Wave,Great Gatsby
55,Olivia Rodrigo,Get Him Back!
56,Dylan Scott,Can't Have Mine
57,Drake,Virginia Beach
58,Morgan Wallen,Everything I Love
59,Tim McGraw,Standing Room Only
60,Jason Aldean,Try That In A Small Town
61,Cody Johnson,The Painter
62,Megan Thee Stallion,Cobra
63,HARDY,Truck Bed
64,Karol G & Peso Pluma,Qlona
65,"The Kid LAROI, Jung Kook & Central Cee",Too Much
66,Bad Bunny & Feid,Perro Negro
67,Zach Bryan Featuring The War And Treaty,Hey Driver
68,Taylor Swift,Style (Taylor's Version)
69,Oliver Anthony Music,Rich Men North Of Richmond
70,Travis Scott Featuring Drake,Meltdown
71,Cardi B & Megan Thee Stallion,Bongos
72,Drake Featuring SZA,Slime You Out
73,Maluma & Carin Leon,Segun Quien
74,Calle 24 x Chino Pacas x Fuerza Regida,Que Onda
75,The Beatles,Now And Then
76,Selena Gomez,Single Soon
77,Parker McCollum,Burn It Down
78,Myke Towers,LaLa
79,Taylor Swift,Bad Blood (Taylor's Version)
80,Olivia Rodrigo,Can't Catch Me Now
81,Rod Wave Featuring 21 Savage,Turks & Caicos
82,Sexyy Red,SkeeYee
83,Jung Kook & Jack Harlow,3D
84,Taylor Swift,Out Of The Woods (Taylor's Version)
85,Taylor Swift,Wildest Dreams (Taylor's Version)
86,Grupo Frontera & Grupo Firme,El Amor de Su Vida
87,Dan + Shay,Save Me The Trouble
88,Dustin Lynch,Stars Like Confetti
89,Stray Kids,LALALALA
90,Jung Kook Featuring Latto,Seven
91,Taylor Swift,Suburban Legends (Taylor's Version) [From The Vault]
92,Taylor Swift,Blank Space (Taylor's Version)
93,Carly Pearce Featuring Chris Stapleton,We Don't Fight Anymore
94,Lil Durk,Smurk Carter
95,Karol G,Mi Ex Tenia Razon
96,Riley Green Featuring Luke Combs,Different 'Round Here
97,Luke Bryan,But I Got A Beer In My Hand
98,YoungBoy Never Broke Again & Rod Wave,Better Than Ever
99,310babii,Soak City (Do It)
